label,stage,variant,H,W,K,seed,rep,exit_status,min_pct_enabled,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-misses,instructions,cpu-cycles,context-switches,page-faults,L1D_MPKI,L1D_miss_rate,branch_MPKI,branch_rate,branch_miss_rate,IPC,CPI
calibration,calibration,default,1024,1024,3,1234,17,0,96,8095988,53560,9554557,560354,66907911,34982376,1,2185,0.800503,0.00661562,8.375,0.142802,0.0586478,1.91262,0.522844
calibration,calibration,default,1024,1024,3,1234,18,0,96,8077291,54308,9531587,555041,66747743,34680135,1,2188,0.813631,0.00672354,8.3155,0.1428,0.0582318,1.92467,0.51957
calibration,calibration,default,1024,1024,3,1234,19,0,96,8122227,52690,9580905,562552,67085660,35686838,1,2186,0.785414,0.00648714,8.38558,0.142816,0.058716,1.87984,0.531959
calibration,calibration,default,1024,1024,3,1234,20,0,96,8086769,54008,9543765,564531,66835698,35425270,1,2183,0.808071,0.00667856,8.44655,0.142794,0.0591518,1.88667,0.530035
calibration,calibration,default,2048,2048,3,1234,1,0,98,30840815,178270,36785447,2164338,258667799,137887484,1,8332,0.689185,0.00578033,8.36725,0.142211,0.0588368,1.87593,0.533068
calibration,calibration,default,2048,2048,3,1234,2,0,98,30744768,168509,36701942,2159922,258104610,136443991,1,8332,0.652871,0.0054809,8.3684,0.142198,0.0588503,1.89165,0.528638
calibration,calibration,default,2048,2048,3,1234,3,0,98,30775170,174919,36732052,2167908,258316759,137044575,1,8332,0.677149,0.00568377,8.39244,0.142198,0.0590195,1.88491,0.530529
calibration,calibration,default,2048,2048,3,1234,4,0,98,30688743,165790,36626608,2159730,257570445,136201443,2,8334,0.643669,0.00540231,8.38501,0.1422,0.0589661,1.8911,0.528793
calibration,calibration,default,2048,2048,3,1234,5,0,98,30776545,170416,36732356,2168287,258319504,136918202,2,8333,0.65971,0.0055372,8.39382,0.142197,0.0590293,1.88667,0.530034
calibration,calibration,default,2048,2048,3,1234,6,0,98,30756283,169255,36709800,2167841,258161949,136739950,1,8333,0.655616,0.0055031,8.39721,0.142197,0.0590535,1.88798,0.529667
calibration,calibration,default,2048,2048,3,1234,7,0,98,30692283,170172,36635820,2155948,257643531,136816864,1,8333,0.660494,0.00554446,8.36795,0.142196,0.0588481,1.88313,0.531032
calibration,calibration,default,2048,2048,3,1234,8,0,98,30808499,165989,36765258,2165297,258541340,139814338,2,8337,0.642021,0.00538777,8.37505,0.142203,0.0588952,1.84918,0.540781
calibration,calibration,default,2048,2048,3,1234,9,0,100,30593237,173198,36400670,2141898,255744838,136899602,1,8335,0.67723,0.00566132,8.37514,0.142332,0.0588423,1.86812,0.535298
calibration,calibration,default,2048,2048,3,1234,10,0,98,30783443,168299,36745211,2167748,258410322,138361085,1,8333,0.651286,0.00546719,8.38878,0.142197,0.058994,1.86765,0.535432
calibration,calibration,default,2048,2048,3,1234,11,0,98,30882748,174879,36860153,2172491,259211313,137555392,1,8335,0.674658,0.00566268,8.38116,0.142201,0.0589387,1.88441,0.530669
calibration,calibration,default,2048,2048,3,1234,12,0,100,30594616,173892,36401915,2142890,255751903,137891402,1,8337,0.679925,0.00568375,8.37878,0.142333,0.0588675,1.85473,0.539161
calibration,calibration,default,2048,2048,3,1234,13,0,98,30838660,172644,36806361,2170653,258836487,137018440,1,8335,0.667,0.0055983,8.38619,0.142199,0.0589749,1.88906,0.529363
calibration,calibration,default,2048,2048,3,1234,14,0,98,30831437,171196,36796887,2170195,258767997,138180627,1,8336,0.661581,0.00555264,8.38664,0.1422,0.0589777,1.87268,0.533994
calibration,calibration,default,2048,2048,3,1234,15,0,98,30806508,170105,36755096,2168996,258426701,139601951,2,8334,0.658233,0.00552172,8.39308,0.142226,0.0590121,1.85117,0.540199
calibration,calibration,default,2048,2048,3,1234,16,0,98,30791577,170947,36750385,2166800,258441237,138787995,1,8335,0.661454,0.00555175,8.38411,0.1422,0.0589599,1.86213,0.53702
calibration,calibration,default,2048,2048,3,1234,17,0,98,30797404,165063,36759494,2175180,258507811,142408879,1,8335,0.638522,0.00535964,8.41437,0.142199,0.0591733,1.81525,0.550888
calibration,calibration,default,2048,2048,3,1234,18,0,98,30834333,173110,36802702,2174792,258817373,138018833,1,8335,0.66885,0.0056142,8.40281,0.142196,0.0590933,1.87523,0.533267
calibration,calibration,default,2048,2048,3,1234,19,0,98,30833944,171450,36803209,2168343,258816797,138875377,1,8334,0.662438,0.00556043,8.37791,0.142198,0.0589172,1.86366,0.536578
calibration,calibration,default,2048,2048,3,1234,20,0,98,30839354,169407,36808520,2169561,258850179,139204162,1,8334,0.65446,0.00549321,8.38153,0.1422,0.0589418,1.8595,0.537779
calibration,calibration,default,4096,4096,3,1234,1,0,99,121199966,672945,144975178,8540749,1020550567,547921796,2,32916,0.659394,0.00555235,8.36877,0.142056,0.0589118,1.86258,0.536888
calibration,calibration,default,4096,4096,3,1234,2,0,100,120781662,674936,144427475,8517956,1016514618,542555886,4,32916,0.663971,0.00558807,8.37957,0.142081,0.0589774,1.87357,0.533741
calibration,calibration,default,4096,4096,3,1234,3,0,99,120867483,658337,144649348,8533971,1018330455,540197587,1,32917,0.646487,0.00544677,8.38036,0.142046,0.0589976,1.88511,0.530474
calibration,calibration,default,4096,4096,3,1234,4,0,100,120776785,663637,144423050,8526937,1016489729,542982060,2,32918,0.652871,0.00549474,8.38861,0.14208,0.0590414,1.87205,0.534174
calibration,calibration,default,4096,4096,3,1234,5,0,99,120867929,657779,144648794,8531015,1018312134,542283805,3,32917,0.64595,0.00544213,8.3776,0.142048,0.0589774,1.87782,0.532532
calibration,calibration,default,4096,4096,3,1234,6,0,99,121065516,653556,144888763,8547685,1020021346,544899701,4,32918,0.640728,0.00539837,8.37991,0.142045,0.0589948,1.87194,0.534204
calibration,calibration,default,4096,4096,3,1234,7,0,99,121057333,612669,144872031,8555928,1019897156,561860697,2,32917,0.600716,0.00506098,8.38901,0.142046,0.0590585,1.81521,0.550899
calibration,calibration,default,4096,4096,3,1234,8,0,99,120789650,670129,144449381,8516159,1016682050,545360224,3,32920,0.659133,0.0055479,8.37642,0.142079,0.058956,1.86424,0.536412
calibration,calibration,default,4096,4096,3,1234,9,0,100,120789100,668320,144432040,8513900,1016541573,548299161,1,32920,0.657445,0.00553295,8.37536,0.142082,0.0589474,1.85399,0.539377
calibration,calibration,default,4096,4096,3,1234,10,0,99,120911251,667728,144697688,8533818,1018658561,541913315,1,32920,0.655497,0.00552246,8.37751,0.142047,0.0589769,1.87974,0.531987
calibration,calibration,default,4096,4096,3,1234,11,0,99,121035001,659998,144853250,8546866,1019770480,540785158,2,32918,0.647202,0.00545295,8.38117,0.142045,0.0590036,1.88572,0.530301
calibration,calibration,default,4096,4096,3,1234,12,0,99,121016559,664846,144824401,8542815,1019551687,541866580,2,32920,0.652096,0.00549384,8.37899,0.142047,0.0589874,1.88155,0.531475
calibration,calibration,default,4096,4096,3,1234,13,0,99,120875176,657524,144656061,8532197,1018368595,542745024,2,32918,0.645664,0.00543969,8.3783,0.142047,0.0589826,1.87633,0.532955
calibration,calibration,default,4096,4096,3,1234,14,0,99,120807967,655873,144478385,8519658,1016912717,540120851,2,32917,0.644965,0.00542905,8.37796,0.142076,0.0589684,1.88275,0.531138
calibration,calibration,default,4096,4096,3,1234,15,0,99,121045856,663386,144864091,8556406,1019841371,541602103,2,32920,0.65048,0.00548045,8.38994,0.142046,0.0590651,1.88301,0.531065
calibration,calibration,default,4096,4096,3,1234,16,0,99,121023312,656440,144832094,8541248,1019615853,540492543,2,32919,0.643811,0.00542408,8.37693,0.142046,0.0589734,1.88646,0.530094
calibration,calibration,default,4096,4096,3,1234,17,0,99,120848367,657684,144624798,8535119,1018153399,540158312,3,32918,0.645958,0.00544222,8.38294,0.142046,0.0590156,1.88492,0.530527
