label,stage,variant,H,W,K,n,L1-dcache-loads_median,L1-dcache-load-misses_median,branch-instructions_median,branch-misses_median,instructions_median,cpu-cycles_median,context-switches_median,page-faults_median,L1D_MPKI_median,L1D_miss_rate_median,branch_MPKI_median,branch_rate_median,branch_miss_rate_median,IPC_median,CPI_median,L1-dcache-loads_mad,L1-dcache-load-misses_mad,branch-instructions_mad,branch-misses_mad,instructions_mad,cpu-cycles_mad,context-switches_mad,page-faults_mad,L1D_MPKI_mad,L1D_miss_rate_mad,branch_MPKI_mad,branch_rate_mad,branch_miss_rate_mad,IPC_mad,CPI_mad
simd128_v4,simd,conv_simd128_v4,64,64,3,20,624663,16838,480052,17856,2767788.5,2492640.5,1,143,6.223583,0.027243941,6.467633,0.17346141,0.037301278,1.1095014,0.90131201,1.419e+04,783.5,1.209e+04,551,7.419e+04,7.679e+04,0,1,0.2555,0.001121,0.06072,0.0001754,0.0003447,0.06028,0.0501
simd128_v4,simd,conv_simd128_v4,128,128,3,20,787198,14208.5,634338.5,24062,3929337.5,2812669,1,178,3.5596396,0.017818136,6.0212764,0.16154445,0.037330765,1.3966202,0.71601636,1.865e+04,652,1.62e+04,1228,1.276e+05,1.022e+05,0,1,0.06977,0.0003289,0.1959,0.0001545,0.001213,0.05509,0.02784
simd128_v4,simd,conv_simd128_v4,256,256,3,20,1335433.5,14970.5,1146180.5,52150.5,7694705.5,4598917,1,326,1.9289258,0.01112841,6.8008233,0.14894269,0.045644297,1.6598841,0.60245205,1.949e+04,331.5,2.004e+04,649,1.298e+05,8.232e+04,0,1,0.04099,0.0002374,0.04407,0.0001429,0.0002975,0.0234,0.008523
simd128_v4,simd,conv_simd128_v4,512,512,3,20,3454192.5,27840.5,3080822,155195,21600912,11651236,1,903,1.2872121,0.0080564321,7.2093251,0.14264694,0.050522739,1.8402092,0.54342071,2.607e+04,1314,2.626e+04,2182,1.989e+05,1.27e+05,0,1,0.05604,0.0003461,0.02098,3.395e-05,0.000278,0.02664,0.007858
simd128_v4,simd,conv_simd128_v4,1024,1024,3,20,12017784,63357.5,10880900,559486,77378148,41731441,1,3208,0.82012927,0.0052715752,7.2347876,0.14063085,0.051441638,1.8572719,0.53842473,1.952e+04,1824,2.167e+04,1648,1.868e+05,5.464e+05,0,1,0.02337,0.0001507,0.003296,9.436e-06,3.135e-05,0.01858,0.005334
simd128_v4,simd,conv_simd128_v4,2048,2048,3,20,45969616,232781.5,41789696,2163825,2.983277e+08,1.6108713e+08,1,12429.5,0.77946965,0.0050590955,7.2489604,0.14007637,0.051744279,1.8515023,0.54010196,9.82e+04,3745,8.855e+04,5266,6.422e+05,4.338e+05,0,1.5,0.01266,8.229e-05,0.005827,2.145e-06,3.961e-05,0.003208,0.0009375
simd128_v4,simd,conv_simd128_v4,4096,4096,3,20,1.8169541e+08,1018693.5,1.653559e+08,8547456.5,1.1815422e+09,6.4363879e+08,2,49301,0.86280822,0.005609906,7.2339926,0.13994678,0.051686857,1.8341783,0.54520333,8.422e+04,1.683e+04,8e+04,4773,5.709e+05,1.064e+06,1,1,0.01458,9.368e-05,0.003986,6.46e-07,2.442e-05,0.002914,0.0008675
simd128_v4,simd,conv_simd128_v4,8192,8192,3,20,7.2520253e+08,4506716.5,6.6033796e+08,34066052,4.7190642e+09,2.5644561e+09,5,196773,0.95499829,0.0062143605,7.2188985,0.1399304,0.051589346,1.8398995,0.54350796,3.361e+04,4.754e+04,3.15e+04,5894,1.944e+05,2.543e+06,1,1,0.009911,6.475e-05,0.00181,8.584e-07,1.242e-05,0.001814,0.0005363
simd128_v4,simd,conv_simd128_v4,16384,16384,3,20,2.8996281e+09,36625222,2.6414562e+09,1.3611126e+08,1.8875953e+10,1.0242839e+10,16,786629,1.9403996,0.012631529,7.2109158,0.13993829,0.051529267,1.8428636,0.54263376,7.072e+04,1.943e+05,7.514e+04,2.556e+04,4.831e+05,7.135e+06,1.5,1,0.01032,6.711e-05,0.001454,4.815e-07,1.059e-05,0.001365,0.0004024
simd256_v1,simd,conv_simd256_v1,64,64,3,20,608900.5,16570,478565.5,17505,2732400,2424807.5,1,142,6.2082866,0.027984377,6.4406319,0.17490376,0.036845342,1.1291471,0.8856279,6890,678,5136,390,3.792e+04,6.112e+04,0,1.5,0.2002,0.0007829,0.05604,0.0002425,0.0003463,0.02884,0.02259
simd256_v1,simd,conv_simd256_v1,128,128,3,20,758100.5,13656,651976,23746,3951709.5,2762620.5,1,179,3.4429399,0.017949823,5.9877256,0.16529329,0.035880423,1.4384726,0.6951832,1.453e+04,204.5,1.422e+04,981.5,8.601e+04,5.22e+04,0,1,0.04731,0.0002558,0.1878,0.000117,0.001306,0.02733,0.0132
simd256_v1,simd,conv_simd256_v1,256,256,3,20,1279496.5,15253.5,1228366.5,51401,7902728,4528196,1,326.5,1.9113659,0.011744371,6.5259699,0.15551587,0.041917952,1.7121213,0.58411768,1.239e+04,1009,1.179e+04,2290,8.46e+04,1.045e+05,0,1.5,0.1095,0.0005987,0.1278,0.0001117,0.0008039,0.06158,0.02101
simd256_v1,simd,conv_simd256_v1,512,512,3,20,3363382.5,27455,3454636.5,154435.5,22911342,11751262,1,903,1.1910147,0.0081142075,6.7994304,0.15077881,0.044885595,1.9481835,0.51329932,2.092e+04,687,2.191e+04,2744,1.456e+05,1.26e+05,0,1,0.0281,0.0001934,0.0353,2.834e-05,0.0003347,0.02042,0.005323
simd256_v1,simd,conv_simd256_v1,1024,1024,3,20,11719970,63111,12314898,561016.5,82492600,41884318,1,3209,0.76279694,0.0053690585,6.7942334,0.14928803,0.045509788,1.9608414,0.50998516,4.222e+04,2519,4.494e+04,2006,3.019e+05,3.739e+05,0,1,0.03243,0.0002278,0.005177,8.261e-06,4.539e-05,0.01957,0.005039
simd256_v1,simd,conv_simd256_v1,2048,2048,3,20,44860748,253614,47449054,2165542.5,3.1871254e+08,1.6295753e+08,1,12429,0.79603405,0.0056558676,6.7966693,0.14887709,0.045652808,1.9544584,0.51165069,3.572e+04,4272,4.084e+04,3279,2.75e+05,3.214e+05,0,1,0.015,0.0001062,0.002867,6.951e-07,1.633e-05,0.00173,0.0004528
simd256_v1,simd,conv_simd256_v1,4096,4096,3,20,1.7705577e+08,1111344.5,1.8755917e+08,8550536,1.2606875e+09,6.5250123e+08,2,49301,0.88153573,0.0062767783,6.7825116,0.14877507,0.045588966,1.9317813,0.51765695,1.894e+04,1.927e+04,1.809e+04,3706,1.267e+05,8.656e+05,1,1,0.01473,0.0001048,0.002501,4.28e-07,1.66e-05,0.002363,0.0006332
simd256_v1,simd,conv_simd256_v1,8192,8192,3,20,7.0614474e+08,5334771.5,7.4833401e+08,34065644,5.0306317e+09,2.6005571e+09,5.5,196773,1.0603092,0.0075537042,6.7715353,0.14875522,0.045520284,1.9344254,0.51694938,6.138e+04,1.178e+05,5.606e+04,1.198e+04,3.757e+05,4.024e+06,0.5,1,0.02327,0.0001657,0.00202,6.359e-07,1.294e-05,0.003509,0.0009376
simd256_v1,simd,conv_simd256_v1,16384,16384,3,20,2.8240227e+09,36177782,2.9937822e+09,1.3610008e+08,2.0125484e+10,1.0325094e+10,17,786629,1.797651,0.012811097,6.7625015,0.1487556,0.045460516,1.9492405,0.51302034,1.08e+05,2.328e+05,1.25e+05,1.429e+04,7.885e+05,7.77e+06,1,1,0.01156,8.238e-05,0.0008042,3.923e-07,5.432e-06,0.00142,0.0003737
simd256_v2,simd,conv_simd256_v2,64,64,3,20,617770,16346.5,482301,17677,2769154,2485743.5,1,142,5.8888866,0.026072431,6.4586229,0.17402117,0.037131408,1.0847425,0.92192822,1.919e+04,1018,1.725e+04,837,1.053e+05,8.305e+04,0,1,0.4124,0.00189,0.07007,0.0003349,0.0004188,0.02613,0.02212
simd256_v2,simd,conv_simd256_v2,128,128,3,20,744057,13698,629502.5,24424,3857021,2724105.5,1,179,3.5293747,0.01830581,6.2686358,0.16317533,0.038466729,1.408746,0.70985131,7121,301.5,7376,769,4.488e+04,5.168e+04,0,1,0.0435,0.0002125,0.2051,9.089e-05,0.001563,0.0202,0.01004
simd256_v2,simd,conv_simd256_v2,256,256,3,20,1244476,14685.5,1165577,51775.5,7681029,4497028,1,326,1.905102,0.011770713,6.7364317,0.1517731,0.044269384,1.7035621,0.58700655,7702,538.5,1.048e+04,705.5,5.583e+04,2.535e+04,0,1,0.07235,0.0004527,0.0621,0.0001208,0.0005007,0.03581,0.0126
simd256_v2,simd,conv_simd256_v2,512,512,3,20,3209624.5,27887.5,3204589,154475,21933710,11452763,1,903,1.2682477,0.0086800115,7.082841,0.14610338,0.048406447,1.8856635,0.53031732,3.912e+04,1537,4.233e+04,3334,2.923e+05,1.653e+05,0,1,0.08647,0.0005673,0.04796,4.302e-05,0.0002948,0.03481,0.009611
simd256_v2,simd,conv_simd256_v2,1024,1024,3,20,11118544,62821.5,11363030,560737.5,78750260,41291410,1,3209.5,0.79432419,0.0056279303,7.1175047,0.14428871,0.049309203,1.9073009,0.52430397,1.892e+04,900,2.119e+04,1416,1.44e+05,3.632e+05,0,1.5,0.01581,0.0001057,0.007082,4.992e-06,5.102e-05,0.01014,0.002775
simd256_v2,simd,conv_simd256_v2,2048,2048,3,20,42486268,266338.5,43740559,2166007.5,3.0417339e+08,1.6041667e+08,1,12429,0.8809108,0.0062965167,7.1256409,0.14379985,0.049552623,1.8916759,0.52863179,2.076e+04,1.006e+04,2.36e+04,4355,1.696e+05,3.636e+05,0,1,0.03201,0.0002292,0.00673,1.991e-06,5.105e-05,0.004784,0.001333
