stage,label,version,H,W,K,seed,rep,correct,naive_ms,stage_ms,gflops,speedup
simd,simd256_v3,conv_simd256_v3,1024,1024,3,1234,10,yes,4.910,0.328,57.56,14.98
simd,simd256_v3,conv_simd256_v3,1024,1024,3,1234,11,yes,4.897,0.328,57.48,14.91
simd,simd256_v3,conv_simd256_v3,1024,1024,3,1234,12,yes,4.520,0.327,57.73,13.83
simd,simd256_v3,conv_simd256_v3,1024,1024,3,1234,13,yes,4.659,0.327,57.67,14.24
simd,simd256_v3,conv_simd256_v3,1024,1024,3,1234,14,yes,4.507,0.327,57.67,13.77
simd,simd256_v3,conv_simd256_v3,1024,1024,3,1234,15,yes,4.787,0.327,57.65,14.62
simd,simd256_v3,conv_simd256_v3,1024,1024,3,1234,16,yes,4.977,0.330,57.26,15.10
simd,simd256_v3,conv_simd256_v3,1024,1024,3,1234,17,yes,4.945,0.329,57.45,15.05
simd,simd256_v3,conv_simd256_v3,1024,1024,3,1234,18,yes,4.906,0.327,57.72,15.00
simd,simd256_v3,conv_simd256_v3,1024,1024,3,1234,19,yes,4.925,0.327,57.68,15.05
simd,simd256_v3,conv_simd256_v3,1024,1024,3,1234,20,yes,4.649,0.327,57.63,14.20
simd,simd256_v3,conv_simd256_v3,2048,2048,3,1234,1,yes,17.960,1.642,45.98,10.94
simd,simd256_v3,conv_simd256_v3,2048,2048,3,1234,2,yes,17.763,1.826,41.34,9.73
simd,simd256_v3,conv_simd256_v3,2048,2048,3,1234,3,yes,18.503,1.766,42.74,10.47
simd,simd256_v3,conv_simd256_v3,2048,2048,3,1234,4,yes,18.659,1.923,39.26,9.70
simd,simd256_v3,conv_simd256_v3,2048,2048,3,1234,5,yes,19.159,1.714,44.04,11.18
simd,simd256_v3,conv_simd256_v3,2048,2048,3,1234,6,yes,18.581,1.723,43.82,10.78
simd,simd256_v3,conv_simd256_v3,2048,2048,3,1234,7,yes,19.804,1.677,45.01,11.81
simd,simd256_v3,conv_simd256_v3,2048,2048,3,1234,8,yes,17.769,1.702,44.36,10.44
simd,simd256_v3,conv_simd256_v3,2048,2048,3,1234,9,yes,19.063,1.642,45.98,11.61
simd,simd256_v3,conv_simd256_v3,2048,2048,3,1234,10,yes,19.774,1.650,45.74,11.98
simd,simd256_v3,conv_simd256_v3,2048,2048,3,1234,11,yes,18.502,1.634,46.20,11.32
simd,simd256_v3,conv_simd256_v3,2048,2048,3,1234,12,yes,18.372,1.628,46.38,11.29
simd,simd256_v3,conv_simd256_v3,2048,2048,3,1234,13,yes,17.395,1.627,46.39,10.69
simd,simd256_v3,conv_simd256_v3,2048,2048,3,1234,14,yes,19.142,1.618,46.66,11.83
simd,simd256_v3,conv_simd256_v3,2048,2048,3,1234,15,yes,17.674,1.630,46.31,10.84
simd,simd256_v3,conv_simd256_v3,2048,2048,3,1234,16,yes,19.106,1.698,44.47,11.25
simd,simd256_v3,conv_simd256_v3,2048,2048,3,1234,17,yes,19.520,1.618,46.65,12.06
simd,simd256_v3,conv_simd256_v3,2048,2048,3,1234,18,yes,19.105,1.817,41.56,10.52
simd,simd256_v3,conv_simd256_v3,2048,2048,3,1234,19,yes,18.912,1.814,41.63,10.43
simd,simd256_v3,conv_simd256_v3,2048,2048,3,1234,20,yes,18.670,1.726,43.74,10.82
