variant,a_degree,b_degree,M,N,K,seed,sample,time_ms,gflops,baseline_ms,speedup,correct
tiled_simd,1,80,off,1024,1024,1024,1234,5,66.477332,32.3040,1052.510469,15.832622,na
tiled_simd,1,80,off,2048,2048,2048,1234,1,625.632277,27.4600,9075.974621,14.506884,na
tiled_simd,1,80,off,2048,2048,2048,1234,2,623.091518,27.5720,9075.974621,14.566038,na
tiled_simd,1,80,off,2048,2048,2048,1234,3,638.792378,26.8943,9075.974621,14.208020,na
tiled_simd,1,80,off,2048,2048,2048,1234,4,624.382841,27.5150,9075.974621,14.535913,na
tiled_simd,1,80,off,2048,2048,2048,1234,5,630.808355,27.2347,9075.974621,14.387848,na
tiled_simd,1,128,off,256,256,256,1234,1,0.918408,36.5354,12.665585,13.790804,yes
tiled_simd,1,128,off,256,256,256,1234,2,0.897458,37.3883,12.665585,14.112733,yes
tiled_simd,1,128,off,256,256,256,1234,3,0.898333,37.3519,12.665585,14.098987,yes
tiled_simd,1,128,off,256,256,256,1234,4,0.900439,37.2645,12.665585,14.066011,yes
tiled_simd,1,128,off,256,256,256,1234,5,0.894306,37.5201,12.665585,14.162473,yes
tiled_simd,1,128,off,512,512,512,1234,1,7.983072,33.6256,120.973697,15.153778,yes
tiled_simd,1,128,off,512,512,512,1234,2,7.918279,33.9007,120.973697,15.277777,yes
tiled_simd,1,128,off,512,512,512,1234,3,7.897180,33.9913,120.973697,15.318594,yes
tiled_simd,1,128,off,512,512,512,1234,4,7.862899,34.1395,120.973697,15.385381,yes
tiled_simd,1,128,off,512,512,512,1234,5,7.914787,33.9157,120.973697,15.284517,yes
tiled_simd,1,128,off,1024,1024,1024,1234,1,66.885812,32.1067,1052.510469,15.735930,na
tiled_simd,1,128,off,1024,1024,1024,1234,2,67.465938,31.8306,1052.510469,15.600620,na
tiled_simd,1,128,off,1024,1024,1024,1234,3,66.827766,32.1346,1052.510469,15.749598,na
tiled_simd,1,128,off,1024,1024,1024,1234,4,75.015341,28.6273,1052.510469,14.030603,na
tiled_simd,1,128,off,1024,1024,1024,1234,5,67.678223,31.7308,1052.510469,15.551686,na
tiled_simd,1,128,off,2048,2048,2048,1234,1,656.818668,26.1562,9075.974621,13.818083,na
tiled_simd,1,128,off,2048,2048,2048,1234,2,677.440070,25.3600,9075.974621,13.397458,na
tiled_simd,1,128,off,2048,2048,2048,1234,3,622.338853,27.6053,9075.974621,14.583654,na
tiled_simd,1,128,off,2048,2048,2048,1234,4,642.155867,26.7534,9075.974621,14.133601,na
tiled_simd,1,128,off,2048,2048,2048,1234,5,622.128072,27.6147,9075.974621,14.588595,na
tiled_simd,3,16,off,256,256,256,1234,1,0.964113,34.8034,12.665585,13.137034,yes
tiled_simd,3,16,off,256,256,256,1234,2,0.949041,35.3561,12.665585,13.345667,yes
tiled_simd,3,16,off,256,256,256,1234,3,1.030680,32.5556,12.665585,12.288572,yes
tiled_simd,3,16,off,256,256,256,1234,4,0.926361,36.2218,12.665585,13.672407,yes
tiled_simd,3,16,off,256,256,256,1234,5,0.910158,36.8666,12.665585,13.915809,yes
tiled_simd,3,16,off,512,512,512,1234,1,8.067047,33.2756,120.973697,14.996032,yes
tiled_simd,3,16,off,512,512,512,1234,2,8.575179,31.3038,120.973697,14.107425,yes
tiled_simd,3,16,off,512,512,512,1234,3,9.309842,28.8335,120.973697,12.994173,yes
tiled_simd,3,16,off,512,512,512,1234,4,8.510193,31.5428,120.973697,14.215153,yes
tiled_simd,3,16,off,512,512,512,1234,5,7.964243,33.7051,120.973697,15.189604,yes
tiled_simd,3,16,off,1024,1024,1024,1234,1,68.324609,31.4306,1052.510469,15.404559,na
tiled_simd,3,16,off,1024,1024,1024,1234,2,68.441586,31.3769,1052.510469,15.378230,na
tiled_simd,3,16,off,1024,1024,1024,1234,3,66.520578,32.2830,1052.510469,15.822329,na
tiled_simd,3,16,off,1024,1024,1024,1234,4,66.210157,32.4344,1052.510469,15.896511,na
tiled_simd,3,16,off,1024,1024,1024,1234,5,74.616053,28.7805,1052.510469,14.105684,na
tiled_simd,3,16,off,2048,2048,2048,1234,1,618.203962,27.7900,9075.974621,14.681198,na
tiled_simd,3,16,off,2048,2048,2048,1234,2,622.510232,27.5977,9075.974621,14.579639,na
tiled_simd,3,16,off,2048,2048,2048,1234,3,616.477633,27.8678,9075.974621,14.722310,na
tiled_simd,3,16,off,2048,2048,2048,1234,4,612.249257,28.0603,9075.974621,14.823986,na
tiled_simd,3,16,off,2048,2048,2048,1234,5,608.433874,28.2362,9075.974621,14.916945,na
tiled_simd,3,48,off,256,256,256,1234,1,0.917129,36.5864,12.665585,13.810037,yes
tiled_simd,3,48,off,256,256,256,1234,2,0.892292,37.6048,12.665585,14.194440,yes
tiled_simd,3,48,off,256,256,256,1234,3,0.928192,36.1503,12.665585,13.645437,yes
tiled_simd,3,48,off,256,256,256,1234,4,0.917553,36.5695,12.665585,13.803655,yes
tiled_simd,3,48,off,256,256,256,1234,5,0.906230,37.0264,12.665585,13.976126,yes
tiled_simd,3,48,off,512,512,512,1234,1,8.075070,33.2425,120.973697,14.981133,yes
tiled_simd,3,48,off,512,512,512,1234,2,8.017951,33.4793,120.973697,15.087857,yes
tiled_simd,3,48,off,512,512,512,1234,3,7.959430,33.7255,120.973697,15.198789,yes
tiled_simd,3,48,off,512,512,512,1234,4,7.944097,33.7906,120.973697,15.228124,yes
tiled_simd,3,48,off,512,512,512,1234,5,7.946363,33.7809,120.973697,15.223782,yes
tiled_simd,3,48,off,1024,1024,1024,1234,1,66.679712,32.2060,1052.510469,15.784568,na
tiled_simd,3,48,off,1024,1024,1024,1234,2,70.420129,30.4953,1052.510469,14.946159,na
tiled_simd,3,48,off,1024,1024,1024,1234,3,71.233966,30.1469,1052.510469,14.775402,na
tiled_simd,3,48,off,1024,1024,1024,1234,4,67.445456,31.8403,1052.510469,15.605358,na
