label,stage,variant,H,W,K,seed,rep,exit_status,min_pct_enabled,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-misses,instructions,cpu-cycles,context-switches,page-faults
calibration,calibration,default,8192,8192,3,1234,9,0,99,482406724,2628919,577528324,34035433,4066623893,2163996904,7,131238
calibration,calibration,default,8192,8192,3,1234,10,0,99,482264791,2668787,577359427,34023086,4065443238,2168973168,1,131240
calibration,calibration,default,8192,8192,3,1234,11,0,99,482269198,2653308,577360937,34042481,4065446330,2174491472,6,131239
calibration,calibration,default,8192,8192,3,1234,12,0,99,482493220,2697438,577609279,34060685,4067130588,2179801205,7,131237
calibration,calibration,default,8192,8192,3,1234,13,0,99,482286601,2679491,577382981,34025755,4065605219,2167680410,2,131238
calibration,calibration,default,8192,8192,3,1234,14,0,99,482502120,2661734,577626524,34063750,4067261661,2167635889,7,131240
calibration,calibration,default,8192,8192,3,1234,15,0,99,482390404,2678534,577492715,34044396,4066330086,2172523256,7,131239
calibration,calibration,default,8192,8192,3,1234,16,0,99,482329395,2700043,577403639,34035889,4065677096,2181672441,6,131239
calibration,calibration,default,8192,8192,3,1234,17,0,99,482412844,2677381,577506045,34043355,4066392917,2175711732,3,131238
calibration,calibration,default,8192,8192,3,1234,18,0,99,482352621,2684803,577423162,34047378,4065810487,2181707176,6,131238
calibration,calibration,default,8192,8192,3,1234,19,0,99,482365798,2640984,577465763,34034945,4066147141,2181386290,6,131239
calibration,calibration,default,8192,8192,3,1234,20,0,99,482447296,2625149,577573106,34048545,4066932929,2167144558,4,131241
calibration,calibration,default,16384,16384,3,1234,1,0,99,1928788065,10402925,2309587959,135980891,16262470168,8635048317,16,524486
calibration,calibration,default,16384,16384,3,1234,2,0,99,1928993957,10446135,2309763316,136012766,16263646856,8649106649,19,524484
calibration,calibration,default,16384,16384,3,1234,3,0,99,1928666492,10298466,2309421499,135979727,16261388007,8633609960,12,524488
calibration,calibration,default,16384,16384,3,1234,4,0,100,1928633305,10456885,2309250855,135973373,16259921696,8663460329,16,524485
calibration,calibration,default,16384,16384,3,1234,5,0,99,1928811342,10402499,2309608546,136028751,16262798764,8702514427,13,524487
calibration,calibration,default,16384,16384,3,1234,6,0,99,1928899133,10305707,2309688707,136033504,16263263639,8683112048,15,524483
calibration,calibration,default,16384,16384,3,1234,7,0,99,1928731070,10355797,2309550183,136056635,16262480745,8658522766,16,524487
calibration,calibration,default,16384,16384,3,1234,8,0,99,1928943971,10417323,2309733243,136011023,16263505195,8688641893,14,524487
calibration,calibration,default,16384,16384,3,1234,9,0,99,1928805969,10455414,2309550211,135969311,16262164039,8677309647,19,524485
calibration,calibration,default,16384,16384,3,1234,10,0,99,1928774035,10301722,2309583986,136051761,16262683962,8687368069,12,524487
calibration,calibration,default,16384,16384,3,1234,11,0,99,1928884081,10397243,2309670639,136007323,16263137151,8670756255,19,524488
calibration,calibration,default,16384,16384,3,1234,12,0,99,1928595517,10417494,2309366490,136009045,16261110078,8646145223,14,524487
calibration,calibration,default,16384,16384,3,1234,13,0,99,1928770492,10296421,2309540294,135992433,16262210037,8661937730,16,524483
calibration,calibration,default,16384,16384,3,1234,14,0,99,1928764098,10439247,2309516955,136053205,16261990127,8653401191,12,524486
calibration,calibration,default,16384,16384,3,1234,15,0,99,1928660530,10333721,2309412452,135967326,16261366478,8661009273,11,524486
calibration,calibration,default,16384,16384,3,1234,16,0,99,1928691613,10288073,2309476751,136000580,16261872823,8649843943,17,524487
calibration,calibration,default,16384,16384,3,1234,17,0,100,1928649744,10401840,2309263832,135999825,16259924200,8646762829,22,524486
calibration,calibration,default,16384,16384,3,1234,18,0,99,1928706785,10280874,2309461636,135996586,16261679636,8671460285,15,524488
calibration,calibration,default,16384,16384,3,1234,19,0,100,1928698404,10492159,2309308233,135962886,16260237667,8651474884,16,524487
calibration,calibration,default,16384,16384,3,1234,20,0,99,1928803549,10315539,2309606562,136001403,16262814064,8653929480,17,524486
naive,naive,default,64,64,3,1234,1,0,56,727834,15287,573516,17876,3269420,2641371,1,144
naive,naive,default,64,64,3,1234,2,0,56,729103,16270,573756,18146,3278036,2561074,1,144
naive,naive,default,64,64,3,1234,3,0,100,650436,16549,496449,16607,2825728,2475948,1,141
naive,naive,default,64,64,3,1234,4,0,100,656047,17137,500438,16514,2849468,2373781,1,144
naive,naive,default,64,64,3,1234,5,0,59,702844,17127,553685,17541,3160598,2547381,1,143
naive,naive,default,64,64,3,1234,6,0,69,594474,27499,467988,14788,2673656,3531117,1,142
naive,naive,default,64,64,3,1234,7,0,90,671699,16113,516492,17160,2932564,2511492,2,142
naive,naive,default,64,64,3,1234,8,0,91,679689,18279,522305,17175,2961032,2936637,2,144
naive,naive,default,64,64,3,1234,9,0,100,652147,16043,497879,16489,2831624,2556081,1,144
naive,naive,default,64,64,3,1234,10,0,57,718255,17423,565989,17728,3228395,2482938,1,144
naive,naive,default,64,64,3,1234,11,0,66,619989,15198,488081,15425,2788795,2141230,1,144
naive,naive,default,64,64,3,1234,12,0,59,696088,15890,548457,17394,3128659,2688499,1,144
naive,naive,default,64,64,3,1234,13,0,100,650484,16223,497300,16321,2825539,2415753,1,142
naive,naive,default,64,64,3,1234,14,0,57,716038,16877,564093,17620,3222648,2437759,1,145
naive,naive,default,64,64,3,1234,15,0,58,709838,17328,559461,17531,3191837,2424151,1,143
naive,naive,default,64,64,3,1234,16,0,61,689888,16896,544037,17623,3101192,2544605,2,142
naive,naive,default,64,64,3,1234,17,0,100,650581,14532,497227,15145,2827543,2230218,1,143
naive,naive,default,64,64,3,1234,18,0,57,713855,15111,562164,15958,3213000,2374124,1,141
naive,naive,default,64,64,3,1234,19,0,59,700772,14357,551556,16429,3147808,2287327,1,144
naive,naive,default,64,64,3,1234,20,0,71,573132,27574,451096,13736,2578326,3773600,1,142
naive,naive,default,128,128,3,1234,1,0,70,1042795,17969,868197,24678,5136085,3595381,1,181
naive,naive,default,128,128,3,1234,2,0,66,1109136,14060,923691,24360,5463596,3204666,1,178
naive,naive,default,128,128,3,1234,3,0,65,1124368,13673,936195,24433,5541968,3073282,1,177
naive,naive,default,128,128,3,1234,4,0,57,1272200,15027,1060085,27337,6271550,3469586,1,179
naive,naive,default,128,128,3,1234,5,0,77,1153013,16787,937047,24115,5509699,3343905,2,179
naive,naive,default,128,128,3,1234,6,0,100,969858,14831,781902,21516,4581125,2893358,1,177
naive,naive,default,128,128,3,1234,7,0,100,972074,14851,783766,21174,4588197,2836662,1,180
naive,naive,default,128,128,3,1234,8,0,59,1243124,14862,1035223,26218,6130427,3315168,1,178
naive,naive,default,128,128,3,1234,9,0,91,1022037,15388,827770,21881,4850606,3311414,2,180
naive,naive,default,128,128,3,1234,10,0,100,973193,14598,784221,22473,4594057,2925661,1,179
naive,naive,default,128,128,3,1234,11,0,67,1110220,14025,924257,23836,5460048,2960937,2,179
naive,naive,default,128,128,3,1234,12,0,65,1131772,13598,941972,24736,5575916,2989641,1,178
naive,naive,default,128,128,3,1234,13,0,65,1127450,13487,938690,23920,5553797,3042018,1,181
naive,naive,default,128,128,3,1234,14,0,91,1011638,15336,818405,22995,4804417,3080058,2,178
naive,naive,default,128,128,3,1234,15,0,86,1047316,15249,848039,22362,4983909,3147404,2,179
naive,naive,default,128,128,3,1234,16,0,64,1143142,13627,952081,24497,5634023,3246067,1,179
naive,naive,default,128,128,3,1234,17,0,64,1147987,13723,955780,24932,5655491,3073753,1,177
naive,naive,default,128,128,3,1234,18,0,100,974411,15653,784865,21440,4600318,2929565,1,178
naive,naive,default,128,128,3,1234,19,0,56,1295059,15638,1078793,27421,6384054,3445969,1,175
naive,naive,default,128,128,3,1234,20,0,100,970908,15404,782988,21983,4584694,2852097,1,178
naive,naive,default,256,256,3,1234,1,0,100,2272673,17588,1939855,47681,11709434,5526855,1,326
naive,naive,default,256,256,3,1234,2,0,86,2438313,14724,2109379,50348,12775996,5482088,2,327
naive,naive,default,256,256,3,1234,3,0,81,2491911,13508,2164310,51513,13143339,5468264,1,328
naive,naive,default,256,256,3,1234,4,0,100,2275192,16595,1941649,45399,11716665,5202689,0,327
naive,naive,default,256,256,3,1234,5,0,90,2392243,16401,2057541,50544,12454089,5485496,2,327
naive,naive,default,256,256,3,1234,6,0,100,2275478,16694,1942137,46631,11722220,5281745,1,328
naive,naive,default,256,256,3,1234,7,0,80,2510428,13948,2181194,50788,13247516,5493534,1,325
naive,naive,default,256,256,3,1234,8,0,100,2267059,16916,1934770,47644,11683141,5319816,1,323
naive,naive,default,256,256,3,1234,9,0,81,2508060,14109,2178519,52001,13230319,5547267,1,326
naive,naive,default,256,256,3,1234,10,0,81,2501821,14030,2172318,50544,13197850,5381356,1,323
naive,naive,default,256,256,3,1234,11,0,100,2271590,17416,1938775,46074,11701668,5284335,1,327
naive,naive,default,256,256,3,1234,12,0,75,2697785,14766,2344035,53931,14237085,5893657,1,324
naive,naive,default,256,256,3,1234,13,0,81,2491304,14397,2163971,49708,13145014,5326706,1,327
naive,naive,default,256,256,3,1234,14,0,89,2423832,16436,2083961,50525,12610553,5608360,2,327
naive,naive,default,256,256,3,1234,15,0,83,2483151,13921,2151636,51361,13042878,5554970,1,325
naive,naive,default,256,256,3,1234,16,0,80,2540533,13931,2206889,52519,13402897,5600592,1,325
naive,naive,default,256,256,3,1234,17,0,100,2277753,16529,1943476,46661,11730398,5579361,1,328
naive,naive,default,256,256,3,1234,18,0,81,2492767,14930,2165076,51712,13147624,5437088,1,327
naive,naive,default,256,256,3,1234,19,0,82,2478500,13622,2152880,49799,13074956,5408020,1,326
naive,naive,default,256,256,3,1234,20,0,81,2503890,14480,2175278,51160,13211363,5478359,1,328
naive,naive,default,512,512,3,1234,1,0,94,7672748,28407,6771899,155057,41517677,15600302,2,901
naive,naive,default,512,512,3,1234,2,0,100,7437187,32420,6537443,152192,40013499,15424341,1,903
naive,naive,default,512,512,3,1234,3,0,93,7732843,28691,6837484,157435,41935385,15461098,1,903
naive,naive,default,512,512,3,1234,4,0,100,7434295,32862,6535014,151548,40007260,15115015,1,901
