label,stage,variant,H,W,K,seed,rep,exit_status,min_pct_enabled,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-misses,instructions,cpu-cycles,context-switches,page-faults
optimized,optimized,default,8192,8192,3,1234,12,0,99,626130755,11020124,681025336,34060585,4724571847,3461531101,32,196774
optimized,optimized,default,8192,8192,3,1234,13,0,99,626124966,10781031,681020090,34056616,4724504507,3453288158,37,196774
optimized,optimized,default,8192,8192,3,1234,14,0,99,625962422,10928409,680904963,34057843,4723657712,3455019870,33,196773
optimized,optimized,default,8192,8192,3,1234,15,0,99,625928102,10740089,680874575,34056120,4723470811,3456542052,33,196775
optimized,optimized,default,8192,8192,3,1234,16,0,99,625932055,10747327,680863031,34062627,4723342377,3450242750,38,196774
optimized,optimized,default,8192,8192,3,1234,17,0,99,625934959,10782807,680873934,34054673,4723439986,3453449943,35,196775
optimized,optimized,default,8192,8192,3,1234,18,0,99,625934256,11009425,680873967,34050418,4723470129,3453821729,31,196774
optimized,optimized,default,8192,8192,3,1234,19,0,99,625899810,10750357,680850567,34060428,4723356319,3457288007,28,196774
optimized,optimized,default,8192,8192,3,1234,20,0,99,625932438,10798559,680866642,34088292,4723411529,3465131336,31,196772
optimized,optimized,default,16384,16384,3,1234,1,0,99,2502755472,60531763,2723042927,136181890,18890991145,13814152717,139,786629
optimized,optimized,default,16384,16384,3,1234,2,0,99,2502741604,61421396,2723012952,136181933,18890781023,13844218003,149,786627
optimized,optimized,default,16384,16384,3,1234,3,0,99,2502173488,48238803,2722527023,136251719,18888236603,11716508640,99,786631
optimized,optimized,default,16384,16384,3,1234,4,0,99,2503164386,59562496,2723032867,136182291,18891781786,13916310954,124,786632
optimized,optimized,default,16384,16384,3,1234,5,0,99,2503061845,59223148,2722970724,136202378,18891399874,13938608671,110,786629
optimized,optimized,default,16384,16384,3,1234,6,0,99,2502555884,59446410,2722889189,136139686,18890099345,13951475035,113,786627
optimized,optimized,default,16384,16384,3,1234,7,0,99,2502430590,59661185,2722749989,136229914,18889228696,13944766874,122,786631
optimized,optimized,default,16384,16384,3,1234,8,0,99,2502453985,59399307,2722789924,136188077,18889463322,13925026987,107,786630
optimized,optimized,default,16384,16384,3,1234,9,0,99,2502317702,62222060,2722670321,136178922,18888725882,13921964202,80,786631
optimized,optimized,default,16384,16384,3,1234,10,0,99,2502420924,60215948,2722762422,136143096,18889212856,13951491590,109,786627
optimized,optimized,default,16384,16384,3,1234,11,0,99,2502423060,60549717,2722756930,136143574,18889224873,13930218599,117,786631
optimized,optimized,default,16384,16384,3,1234,12,0,99,2502640482,59370036,2722922758,136169194,18890378412,13948291836,123,786630
optimized,optimized,default,16384,16384,3,1234,13,0,99,2502463877,61014102,2722796374,136176378,18889455998,13929798518,123,786629
optimized,optimized,default,16384,16384,3,1234,14,0,99,2502477747,59856812,2722806275,136203390,18889489065,13932636103,125,786630
optimized,optimized,default,16384,16384,3,1234,15,0,99,2502616288,60503775,2722901554,136218191,18890107867,13937203102,144,786630
optimized,optimized,default,16384,16384,3,1234,16,0,100,2502556390,60303885,2722753785,136127803,18888845878,13942278556,141,786630
optimized,optimized,default,16384,16384,3,1234,17,0,99,2502511610,59873904,2722824908,136185784,18889647566,13925825368,133,786631
optimized,optimized,default,16384,16384,3,1234,18,0,99,2502446404,50399516,2722681923,136260593,18889433282,11509105627,106,786630
optimized,optimized,default,16384,16384,3,1234,19,0,99,2502549143,59408106,2722880180,136177265,18890058927,13949560666,123,786629
optimized,optimized,default,16384,16384,3,1234,20,0,99,2502590433,58967233,2722889115,136193766,18890049212,13926081743,132,786630
