label,stage,variant,H,W,K,seed,rep,event,value,unit,counter_runtime_ns,pct_enabled
optimized,optimized,default,128,128,3,1234,12,branch-instructions,651768,,692613,61
optimized,optimized,default,128,128,3,1234,12,branch-misses,28557,,692613,61
optimized,optimized,default,128,128,3,1234,12,instructions,3985419,,692613,61
optimized,optimized,default,128,128,3,1234,12,cpu-cycles,4138841,,692613,61
optimized,optimized,default,128,128,3,1234,12,context-switches,1,,1134669,100
optimized,optimized,default,128,128,3,1234,12,page-faults,179,,1134669,100
optimized,optimized,default,128,128,3,1234,13,L1-dcache-loads,738512,,676840,62
optimized,optimized,default,128,128,3,1234,13,L1-dcache-load-misses,23199,,676840,62
optimized,optimized,default,128,128,3,1234,13,branch-instructions,635515,,676840,62
optimized,optimized,default,128,128,3,1234,13,branch-misses,28120,,676840,62
optimized,optimized,default,128,128,3,1234,13,instructions,3889327,,676840,62
optimized,optimized,default,128,128,3,1234,13,cpu-cycles,3953309,,676840,62
optimized,optimized,default,128,128,3,1234,13,context-switches,1,,1083217,100
optimized,optimized,default,128,128,3,1234,13,page-faults,180,,1083217,100
optimized,optimized,default,128,128,3,1234,14,L1-dcache-loads,755265,,688715,61
optimized,optimized,default,128,128,3,1234,14,L1-dcache-load-misses,25743,,688715,61
optimized,optimized,default,128,128,3,1234,14,branch-instructions,649763,,688715,61
optimized,optimized,default,128,128,3,1234,14,branch-misses,28957,,688715,61
optimized,optimized,default,128,128,3,1234,14,instructions,3975211,,688715,61
optimized,optimized,default,128,128,3,1234,14,cpu-cycles,4107036,,688715,61
optimized,optimized,default,128,128,3,1234,14,context-switches,2,,1126576,100
optimized,optimized,default,128,128,3,1234,14,page-faults,180,,1126576,100
optimized,optimized,default,128,128,3,1234,15,L1-dcache-loads,759762,,680170,61
optimized,optimized,default,128,128,3,1234,15,L1-dcache-load-misses,26608,,680170,61
optimized,optimized,default,128,128,3,1234,15,branch-instructions,651256,,680170,61
optimized,optimized,default,128,128,3,1234,15,branch-misses,28032,,680170,61
optimized,optimized,default,128,128,3,1234,15,instructions,3993594,,680170,61
optimized,optimized,default,128,128,3,1234,15,cpu-cycles,4041029,,680170,61
optimized,optimized,default,128,128,3,1234,15,context-switches,1,,1108984,100
optimized,optimized,default,128,128,3,1234,15,page-faults,179,,1108984,100
optimized,optimized,default,128,128,3,1234,16,L1-dcache-loads,759387,,676119,60
optimized,optimized,default,128,128,3,1234,16,L1-dcache-load-misses,24919,,676119,60
optimized,optimized,default,128,128,3,1234,16,branch-instructions,653506,,676119,60
optimized,optimized,default,128,128,3,1234,16,branch-misses,27704,,676119,60
optimized,optimized,default,128,128,3,1234,16,instructions,3995415,,676119,60
optimized,optimized,default,128,128,3,1234,16,cpu-cycles,4048025,,676119,60
optimized,optimized,default,128,128,3,1234,16,context-switches,1,,1108453,100
optimized,optimized,default,128,128,3,1234,16,page-faults,181,,1108453,100
optimized,optimized,default,128,128,3,1234,17,L1-dcache-loads,802855,,663299,57
optimized,optimized,default,128,128,3,1234,17,L1-dcache-load-misses,24571,,663299,57
optimized,optimized,default,128,128,3,1234,17,branch-instructions,690967,,663299,57
optimized,optimized,default,128,128,3,1234,17,branch-misses,28885,,663299,57
optimized,optimized,default,128,128,3,1234,17,instructions,4225945,,663299,57
optimized,optimized,default,128,128,3,1234,17,cpu-cycles,4205241,,663299,57
